#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 03 22 28 999 99.0 99.0  3.85  9.88  7.87 211 9999.0 999.0   7.4 999.0 99.0 99.00
2016 01 03 22 58 999 99.0 99.0  4.08  9.88  7.66 183 9999.0 999.0   7.4 999.0 99.0 99.00
2016 01 03 23 28 999 99.0 99.0  4.03  9.88  7.96 168 9999.0 999.0   7.4 999.0 99.0 99.00
2016 01 03 23 58 999 99.0 99.0  3.68  9.88  7.84 179 9999.0 999.0   7.3 999.0 99.0 99.00
2016 01 04 00 28 999 99.0 99.0  3.86  9.09  7.88 181 9999.0 999.0   7.3 999.0 99.0 99.00
2016 01 04 00 58 999 99.0 99.0  3.53  9.09  7.54 172 9999.0 999.0   7.3 999.0 99.0 99.00
2016 01 04 01 28 999 99.0 99.0  3.99  9.88  7.65 192 9999.0 999.0   7.3 999.0 99.0 99.00
2016 01 04 01 58 999 99.0 99.0  3.81 14.29  7.92 265 9999.0 999.0   7.3 999.0 99.0 99.00
2016 01 06 22 28 999 99.0 99.0  3.72 13.33  9.86 255 9999.0 999.0   7.4 999.0 99.0 99.00
2016 01 06 22 58 999 99.0 99.0  4.59 13.33 10.50 256 9999.0 999.0   7.4 999.0 99.0 99.00
2016 01 06 23 28 999 99.0 99.0  3.63 14.29  9.82 262 9999.0 999.0   7.4 999.0 99.0 99.00
2016 01 06 23 58 999 99.0 99.0  4.05 12.50 10.50 252 9999.0 999.0   7.4 999.0 99.0 99.00
2016 01 07 00 28 999 99.0 99.0  4.03 11.76 10.15 264 9999.0 999.0   7.4 999.0 99.0 99.00
2016 01 07 00 58 999 99.0 99.0  3.63 12.50  9.72 262 9999.0 999.0   7.4 999.0 99.0 99.00
2016 01 07 01 28 999 99.0 99.0  4.29 14.29 10.32 266 9999.0 999.0   7.4 999.0 99.0 99.00
2016 01 07 01 58 999 99.0 99.0  3.56 12.50  9.63 255 9999.0 999.0   7.4 999.0 99.0 99.00
2016 01 08 02 28 999 99.0 99.0  5.30  9.88  7.72 130 9999.0 999.0   7.3 999.0 99.0 99.00
2016 01 08 02 58 999 99.0 99.0  5.06  9.09  7.77 124 9999.0 999.0   7.3 999.0 99.0 99.00
2016 01 08 03 28 999 99.0 99.0  5.73  9.88  8.08 120 9999.0 999.0   7.3 999.0 99.0 99.00
2016 01 08 03 58 999 99.0 99.0  4.98  9.88  7.82 127 9999.0 999.0   7.3 999.0 99.0 99.00
2016 01 08 04 28 999 99.0 99.0  5.60  9.09  8.03 123 9999.0 999.0   7.3 999.0 99.0 99.00
2016 01 08 04 58 999 99.0 99.0  5.74  9.88  8.35 144 9999.0 999.0   7.3 999.0 99.0 99.00
2016 01 08 05 28 999 99.0 99.0  5.39  9.88  8.28 117 9999.0 999.0   7.4 999.0 99.0 99.00
2016 01 08 05 58 999 99.0 99.0  5.27  9.88  8.19 134 9999.0 999.0   7.4 999.0 99.0 99.00
2016 01 10 02 28 999 99.0 99.0  5.90 10.53  8.80 164 9999.0 999.0   7.3 999.0 99.0 99.00
2016 01 10 02 58 999 99.0 99.0  5.96  9.88  8.77 134 9999.0 999.0   7.3 999.0 99.0 99.00
2016 01 10 03 28 999 99.0 99.0  6.00 11.76  9.10 165 9999.0 999.0   7.3 999.0 99.0 99.00
2016 01 10 03 58 999 99.0 99.0  5.80 10.53  9.01 143 9999.0 999.0   7.3 999.0 99.0 99.00
