YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 00 00 305  8.4 11.4  1.88  8.33  5.70 999  983.1  -0.2   4.0 999.0 99.0 99.00
2006 01 01 01 00 304 10.7 12.8  1.95  7.69  5.52 999  983.1   0.4   4.0  -1.9 99.0 99.00
2006 01 01 02 00 308 11.9 14.0  2.08  7.69  5.75 999  983.2   0.4   4.0  -1.6 99.0 99.00
2006 01 01 03 00 307  9.9 12.8  1.98  5.88  5.53 999  983.3   0.2   4.0  -0.9 99.0 99.00
2006 01 01 04 00 322  8.1  9.9  1.94  7.14  5.73 999  983.5   0.7   4.0  -1.0 99.0 99.00
2006 01 01 05 00 345  8.7 11.3  1.92  7.14  5.88 999  984.0   0.4   4.0  -0.9 99.0 99.00
2006 01 01 06 00 348  8.6 10.0  1.89  7.14  5.95 999  984.2   0.6   4.0  -0.7 99.0 99.00
2006 01 01 07 00 342  9.6 11.4  1.98  7.14  5.86 999  984.2   0.9   4.0  -1.4 99.0 99.00
2006 01 01 08 00 341 10.0 11.8  2.01  8.33  5.85 999  984.5   0.8   4.0  -2.2 99.0 99.00
2006 01 01 09 00 338  9.9 11.5  2.05  6.67  5.90 999  984.8   0.6   4.0  -2.3 99.0 99.00
2006 01 01 10 00 328  9.2 10.6  2.06  6.67  5.75 999  985.0   0.5   4.0  -2.8 99.0 99.00
2006 01 01 11 00 331 11.5 13.7  1.99  7.14  5.68 999  985.2   0.2   4.0  -2.9 99.0 99.00
2006 01 01 12 00 329  9.3 12.3  2.10  7.69  5.77 999  985.2   0.2   4.0  -3.6 99.0 99.00
2006 01 01 13 00 328 12.2 14.1  2.21  8.33  5.76 999  985.1   0.5   4.0  -3.9 99.0 99.00
2006 01 01 14 00 329 12.5 14.6  2.30  7.14  5.84 999  985.0   0.3   4.0  -3.8 99.0 99.00
2006 01 01 15 00 319 11.9 14.1  2.43  7.69  6.14 999  984.9   0.4   4.0  -4.0 99.0 99.00
2006 01 01 16 00 327 11.1 13.4  2.44  7.69  6.07 999  984.9   0.2   4.0  -4.4 99.0 99.00
2006 01 01 17 00 317 11.5 13.2  2.42  9.09  6.25 999  984.7   0.0   4.0  -5.0 99.0 99.00
2006 01 01 18 00 326 11.1 13.7  2.57  8.33  6.59 999  984.4   0.0   4.0  -5.3 99.0 99.00
2006 01 01 19 00 336  8.8 11.8  2.54  9.09  6.42 999  984.1  -0.3   4.0  -3.7 99.0 99.00
2006 01 01 20 00 330 10.2 12.7  2.33 10.00  6.36 999  984.4  -0.2   4.0  -4.3 99.0 99.00
2006 01 01 21 00 330  9.7 12.4  2.34  9.09  6.29 999  984.3   0.0   4.0  -4.9 99.0 99.00
2006 01 01 22 00 331  8.6 10.3  2.33  9.09  6.32 999  984.3   0.1   4.0  -4.9 99.0 99.00
2006 01 01 23 00 327  7.9  9.9  2.27  9.09  6.30 999  983.9   0.3   4.0  -5.3 99.0 99.00
2006 01 02 00 00 312  9.7 11.5  2.13  7.69  5.90 999  983.6  -0.9   4.0 999.0 99.0 99.00
2006 01 02 01 00 338  8.0 10.0  2.14  7.69  5.76 999  983.3  -0.5   3.9 999.0 99.0 99.00
2006 01 02 02 00 315  8.8 10.8  2.15  8.33  5.96 999  983.1  -0.2   3.9 999.0 99.0 99.00
2006 01 02 03 00 357 11.1 12.8  2.08  8.33  6.00 999  983.4   0.3   3.9  -2.8 99.0 99.00
2006 01 02 04 00 338  9.1 11.8  2.18  8.33  6.05 999  983.4   0.9   4.0  -2.2 99.0 99.00
2006 01 02 05 00 350  9.4 10.9  2.30  7.69  6.18 999  983.7   1.0   4.0  -2.3 99.0 99.00
2006 01 02 06 00   8 12.6 15.5  2.33  9.09  6.29 999  984.1   0.0   3.9 999.0 99.0 99.00
2006 01 02 07 00  15 11.0 13.1  2.65  8.33  6.30 999  984.5  -0.2   3.9  -1.0 99.0 99.00
2006 01 02 08 00  12 10.4 12.5  2.69  9.09  6.35 999  984.8   0.1   3.9  -1.2 99.0 99.00
2006 01 02 09 00  17 10.0 11.4  2.75  7.14  6.36 999  984.9   0.9   3.9 999.0 99.0 99.00
2006 01 02 10 00 347  9.8 12.0  2.43 10.00  6.22 999  985.3   0.4   3.9  -1.9 99.0 99.00
2006 01 02 11 00 349 11.8 13.9  2.49  8.33  6.43 999  985.6   0.6   3.9  -2.2 99.0 99.00
2006 01 02 12 00 342 11.2 14.1  2.27  9.09  6.08 999  985.7   0.0   3.9  -1.8 99.0 99.00
2006 01 02 13 00 347 12.3 14.9  2.54  7.69  6.06 999  986.0   0.0   3.9  -2.9 99.0 99.00
2006 01 02 14 00 347 11.8 14.3  2.24  6.67  5.68 999  986.2  -0.6   3.9  -3.4 99.0 99.00
2006 01 02 15 00 337 11.9 14.4  2.46  7.69  5.91 999  986.5  -1.3   3.9  -4.2 99.0 99.00
2006 01 02 16 00 340 12.7 14.4  2.33  7.69  5.93 999  986.8  -2.1   3.9  -4.4 99.0 99.00
2006 01 02 17 00 335 11.4 14.3  2.38  7.69  5.97 999  986.6  -1.9   3.9  -5.0 99.0 99.00
2006 01 02 18 00 341 12.9 14.6  2.51  7.69  5.98 999  986.6  -1.6   3.9  -3.8 99.0 99.00
2006 01 02 19 00   0 11.8 14.2  2.41  7.14  5.81 999  986.8  -1.0   3.9  -3.9 99.0 99.00
2006 01 02 20 00   0 13.0 15.3  2.42  8.33  6.04 999  987.0  -0.8   3.9  -3.4 99.0 99.00
2006 01 02 21 00   0 13.4 16.2  2.80  7.69  6.15 999  987.4  -1.5   3.9  -3.2 99.0 99.00
2006 01 02 22 00   0 12.8 15.7  2.93  8.33  6.40 999  987.5  -0.6   3.9  -4.0 99.0 99.00
2006 01 02 23 00   0 13.4 16.9  2.88  8.33  6.27 999  987.5  -1.4   3.9 999.0 99.0 99.00
2006 01 03 00 00   0 13.7 16.3  3.01  8.33  6.28 999  987.1  -0.3   3.9  -3.3 99.0 99.00
2006 01 03 01 00   0 15.2 17.8  3.56  9.09  6.76 999  987.3   0.2   3.9  -3.2 99.0 99.00
2006 01 03 02 00   0 16.4 19.6  3.58  9.09  6.78 999  987.8   0.0   3.9  -2.3 99.0 99.00
2006 01 03 03 00   0 16.1 19.4  3.78  9.09  6.83 999  988.6  -0.2   3.9  -1.0 99.0 99.00
2006 01 03 04 00   0 17.7 21.0  3.78 10.00  6.91 999  989.4   0.2   3.9  -0.9 99.0 99.00
2006 01 03 05 00   0 17.5 21.6  4.16 10.00  6.82 999  990.3   0.2   3.9  -0.2 99.0 99.00
2006 01 03 06 00   0 16.9 20.4  4.29 10.00  7.08 999  991.2   0.5   3.9  -0.1 99.0 99.00
2006 01 03 07 00   0 16.9 19.7  3.91  9.09  6.94 999  992.2   0.5   3.9  -0.2 99.0 99.00
2006 01 03 08 00   0 17.2 20.3  3.65 10.00  6.55 999  993.5   0.4   3.9  -0.7 99.0 99.00
2006 01 03 09 00   0 16.5 18.6  3.90  9.09  7.04 999  994.6   0.5   3.9  -1.3 99.0 99.00
2006 01 03 10 00   0 15.6 19.0  3.76  9.09  6.92 999  996.0   0.5   3.9  -1.4 99.0 99.00
2006 01 03 11 00   0 16.3 19.0  3.88  9.09  7.01 999  997.3   0.3   3.9  -1.3 99.0 99.00
2006 01 03 12 00   0 16.5 20.0  4.14  9.09  7.14 999  998.8   0.0   3.9  -1.4 99.0 99.00
2006 01 03 13 00   0 15.6 18.2  3.72  9.09  6.57 999 1000.0   0.2   3.9  -1.9 99.0 99.00
2006 01 03 14 00   0 16.5 19.5  3.92  9.09  6.91 999 1001.3   0.2   3.9  -2.3 99.0 99.00
2006 01 03 15 00   0 15.9 19.3  4.02  9.09  6.95 999 1002.4   0.1   3.9  -2.6 99.0 99.00
2006 01 03 16 00   0 15.6 17.9  4.30  9.09  7.05 999 1003.3   0.2   3.9  -2.8 99.0 99.00
2006 01 03 17 00   0 16.5 20.9  4.26 10.00  7.18 999 1004.8  -0.5   3.9  -2.5 99.0 99.00
2006 01 03 18 00   0 16.0 19.3  4.24 10.00  7.09 999 1005.9  -0.5   3.9  -3.4 99.0 99.00
2006 01 03 19 00   0 17.4 20.0  4.32 10.00  7.06 999 1007.1  -0.9   3.9  -4.0 99.0 99.00
2006 01 03 20 00   0 16.5 20.7  4.08 10.00  7.01 999 1008.3  -1.3   3.9  -4.5 99.0 99.00
2006 01 03 21 00   0 15.9 19.6  4.58 10.00  7.42 999 1009.3  -1.5   3.9  -4.9 99.0 99.00
2006 01 03 22 00   0 15.3 18.0  4.04  9.09  7.18 999 1010.2  -1.7   3.9  -5.4 99.0 99.00
2006 01 03 23 00   0 15.3 19.1  3.99 10.00  7.25 999 1010.9  -1.7   3.9  -5.7 99.0 99.00
2006 01 04 00 00   0 13.5 17.5  4.10 10.00  7.38 999 1011.2  -1.9   3.9  -7.5 99.0 99.00
2006 01 04 01 00   0 13.0 16.6  3.95  9.09  7.32 999 1011.7  -2.0   3.9  -7.8 99.0 99.00
2006 01 04 02 00   0 13.9 16.9  3.91 10.00  7.18 999 1012.5  -2.1   3.9  -8.3 99.0 99.00
2006 01 04 03 00   0 13.7 17.6  4.14 10.00  7.23 999 1013.3  -2.6   3.9  -6.1 99.0 99.00
2006 01 04 04 00   0 13.1 16.1  3.67 10.00  6.95 999 1013.8  -2.2   3.9  -7.2 99.0 99.00
2006 01 04 05 00   0 11.9 14.3  3.61  9.09  6.85 999 1014.5  -2.3   3.8  -6.6 99.0 99.00
2006 01 04 06 00 999 12.5 15.2  3.34 10.00  6.62 999 1015.0  -2.0   3.8  -7.2 99.0 99.00
2006 01 04 07 00 999 11.7 13.9  3.18  9.09  6.75 999 1015.7  -2.5   3.8  -5.8 99.0 99.00
2006 01 04 08 00 999  9.2 11.3  3.18  8.33  6.76 999 1015.9  -2.5   3.8  -5.2 99.0 99.00
2006 01 04 09 00 999 11.2 13.5  2.88  9.09  6.49 999 1016.4  -2.7   3.8  -5.3 99.0 99.00
2006 01 04 10 00 999 10.7 14.0  2.81  9.09  6.52 999 1016.6  -2.7   3.8  -5.8 99.0 99.00
2006 01 04 11 00 999 11.1 16.2  3.00  9.09  6.70 999 1016.9  -2.9   3.8  -5.9 99.0 99.00
2006 01 04 12 00 999 11.1 13.8  2.80  8.33  6.65 999 1017.4  -2.2   3.8  -6.8 99.0 99.00
2006 01 04 13 00 999 11.2 13.7  2.80  9.09  6.78 999 1016.7  -2.3   3.8  -7.5 99.0 99.00
2006 01 04 14 00 999 11.2 14.1  2.70  8.33  6.70 999 1016.8  -2.3   3.8  -8.0 99.0 99.00
2006 01 04 15 00 999  9.4 12.6  2.64  9.09  6.45 999 1016.9  -2.5   3.8  -9.1 99.0 99.00
2006 01 04 16 00 999  8.8 11.2  2.58  9.09  6.67 999 1016.6  -2.5   3.8  -7.7 99.0 99.00
2006 01 04 17 00 999  7.8 10.6  2.39  9.09  6.43 999 1016.6  -3.1   3.8  -7.9 99.0 99.00
2006 01 04 18 00 999  7.0 10.7  2.42  8.33  6.52 999 1016.5  -3.1   3.7 -10.4 99.0 99.00
2006 01 04 19 00 999  6.1  9.2  2.34  9.09  6.55 999 1016.2  -3.8   3.8  -6.6 99.0 99.00
2006 01 04 20 00 999  4.7  6.4  2.31  9.09  6.67 999 1015.8  -3.1   3.8 -11.1 99.0 99.00
2006 01 04 21 00 999  5.6  7.5  2.02  9.09  6.55 999 1015.6  -3.0   3.8  -9.0 99.0 99.00
2006 01 04 22 00 999  4.7  6.3  2.12  8.33  6.75 999 1014.9  -3.0   3.8 -10.7 99.0 99.00
2006 01 04 23 00 999  4.0  5.5  2.03  9.09  6.61 999 1014.4  -3.1   3.8  -8.8 99.0 99.00
2006 01 05 00 00 999  3.9  5.2  1.83  8.33  6.54 999 1013.6  -3.3   3.8  -7.6 99.0 99.00
2006 01 05 01 00 999  4.6  6.4  1.74  7.69  6.35 999 1012.4  -3.1   3.8  -7.3 99.0 99.00
2006 01 05 02 00 999  7.3  9.1  1.70  7.69  6.29 999 1011.5  -2.5   3.8  -8.7 99.0 99.00
2006 01 05 03 00 999  8.0 11.4  1.55  7.69  5.75 999 1011.0  -2.7   3.8  -8.2 99.0 99.00
2006 01 05 04 00 999  5.7  8.0  1.60  7.69  5.51 999 1010.5  -2.5   3.8  -8.6 99.0 99.00
2006 01 05 05 00 999  5.6  6.9  1.41  7.69  5.45 999 1009.5  -3.2   3.8  -5.7 99.0 99.00
2006 01 05 06 00 999  7.5  9.0  1.38  7.69  5.68 999 1008.8  -2.9   3.8  -6.5 99.0 99.00
2006 01 05 07 00 999  7.3  8.4  1.43  7.14  5.39 999 1007.6  -3.1   3.8  -5.6 99.0 99.00
2006 01 05 08 00 999  7.5  9.7  1.36  7.14  5.50 999 1006.4  -1.8   3.8  -8.7 99.0 99.00
2006 01 05 09 00 999 10.6 12.8  1.31  7.14  5.17 999 1005.3  -2.4   3.8  -6.2 99.0 99.00
2006 01 05 10 00 999  8.4 10.4  1.41  7.14  5.41 999 1004.0  -2.1   3.8  -7.2 99.0 99.00
2006 01 05 11 00 999 10.4 12.2  1.47  6.67  5.17 999 1003.0  -2.4   3.8  -6.3 99.0 99.00
2006 01 05 12 00 999 10.4 12.5  1.40  6.25  4.97 999 1002.0  -3.1   3.8  -5.2 99.0 99.00
2006 01 05 13 00 999 10.9 13.1  1.37  6.67  5.07 999 1001.0  -2.7   3.8  -4.8 99.0 99.00
2006 01 05 14 00 999 12.0 14.2  1.45  5.56  4.86 999  999.8  -1.6   3.8  -6.0 99.0 99.00
2006 01 05 15 00 999 11.8 13.8  1.53  5.26  4.83 999  998.5  -1.4   3.8  -6.5 99.0 99.00
2006 01 05 16 00 999 11.5 13.5  1.51  5.26  4.83 999  997.3  -1.3   3.8  -6.5 99.0 99.00
2006 01 05 17 00 999 12.3 14.7  1.56  5.26  4.83 999  996.6  -1.0   3.8  -5.5 99.0 99.00
2006 01 05 18 00 999 12.7 15.0  1.72  5.26  4.83 999  996.1  -0.9   3.8  -4.9 99.0 99.00
2006 01 05 19 00 999 12.5 15.2  1.78  5.56  4.89 999  995.7  -0.8   3.8  -4.9 99.0 99.00
2006 01 05 20 00 999 11.7 14.5  1.77  5.26  4.96 999  995.4  -0.5   3.8  -5.0 99.0 99.00
2006 01 05 21 00 999 13.4 16.1  1.83  5.88  4.97 999  995.1  -0.5   3.9  -4.1 99.0 99.00
2006 01 05 22 00 999 11.8 13.9  2.01  5.56  5.17 999  994.6  -0.3   3.9  -4.6 99.0 99.00
2006 01 05 23 00 999 11.7 13.6  1.85  6.25  5.28 999  994.2  -0.6   3.8  -2.9 99.0 99.00
2006 01 06 00 00 999 12.1 13.8  2.06  6.25  5.60 999  993.6  -0.4   3.8  -2.8 99.0 99.00
2006 01 06 01 00 999 13.0 15.5  2.27 17.39  6.10 999  993.2  -0.5   3.8  -2.7 99.0 99.00
2006 01 06 02 00 999 13.4 16.4  2.51  6.25  5.91 999  993.0  -0.2   3.8  -2.2 99.0 99.00
2006 01 06 03 00 999 14.0 16.9  2.71 17.39  6.65 999  993.1   0.0   3.8  -2.1 99.0 99.00
2006 01 06 04 00 999 14.8 17.2  3.07 17.39  6.52 999  993.4   0.0   3.8  -1.6 99.0 99.00
2006 01 06 05 00 999 14.5 17.3  3.23  6.67  6.32 999  993.6   0.0   3.8  -1.5 99.0 99.00
2006 01 06 06 00 999 14.9 17.4  3.22  7.14  6.34 999  993.7   0.1   3.9  -1.6 99.0 99.00
2006 01 06 07 00 999 15.3 19.8  3.07 16.00  6.44 999  994.0  -0.1   3.8  -1.4 99.0 99.00
2006 01 06 08 00 999 14.3 17.1  3.41  7.14  6.49 999  994.0   0.0   3.8  -1.3 99.0 99.00
2006 01 06 09 00 999 12.8 15.5  3.26  7.14  6.41 999  994.3   0.1   3.8  -1.0 99.0 99.00
2006 01 06 10 00 999 13.3 15.3  2.90  6.67  6.12 999  994.6   0.0   3.8  -1.6 99.0 99.00
2006 01 06 11 00 999 12.6 14.9  3.12  7.14  6.42 999  995.0   0.0   3.8  -1.5 99.0 99.00
2006 01 06 12 00 999 12.3 14.1  2.66  7.14  6.26 999  995.1   0.1   3.9  -1.1 99.0 99.00
2006 01 06 13 00 999 11.9 13.9  2.87  6.67  6.33 999  995.3   0.1   3.9  -0.9 99.0 99.00
2006 01 06 14 00 999 11.8 14.2  2.67  7.14  6.60 999  995.2   0.2   3.8  -0.8 99.0 99.00
2006 01 06 15 00 999 10.5 12.1  2.51  6.25  6.64 999  995.2   0.6   3.8  -0.4 99.0 99.00
2006 01 06 16 00 999  8.5 10.2  2.54  6.67  6.55 999  994.7   0.9   3.8   0.1 99.0 99.00
2006 01 06 17 00 999  7.7  9.3  2.65 16.00  7.10 999  994.2   1.6   3.8   0.5 99.0 99.00
2006 01 06 18 00 999  8.6 10.6  2.58 17.39  6.90 999  994.0   2.1   3.8  -0.1 99.0 99.00
2006 01 06 19 00 999  9.0 11.7  2.52 16.00  6.70 999  994.0   2.3   3.8  -0.2 99.0 99.00
2006 01 06 20 00 999  8.9 11.2  2.67 16.00  7.16 999  993.6   2.6   3.8   0.0 99.0 99.00
2006 01 06 21 00 999  9.5 10.9  2.72 16.00  7.39 999  993.3   2.8   3.8   0.1 99.0 99.00
2006 01 06 22 00 999  9.3 11.1  2.44 16.00  6.62 999  992.5   2.9   3.8   0.0 99.0 99.00
2006 01 06 23 00 999  9.3 11.0  2.29 16.00  6.85 999  991.8   3.2   3.8  -1.5 99.0 99.00
2006 01 07 00 00 999  9.9 12.2  2.27 16.00  6.61 999  990.9   2.9   3.8  -0.6 99.0 99.00
2006 01 07 01 00 999  9.4 11.3  2.20 16.00  7.13 999  990.4   2.9   3.8  -0.5 99.0 99.00
2006 01 07 02 00 999  8.3  9.8  2.29 16.00  7.27 999  989.9   3.0   3.8  -0.2 99.0 99.00
2006 01 07 03 00 999  8.5 10.0  2.17 14.81  6.99 999  989.4   2.9   3.8  -0.6 99.0 99.00
2006 01 07 04 00 999  8.7 10.1  2.08 14.81  6.97 999  989.1   2.9   3.8  -0.3 99.0 99.00
2006 01 07 05 00 999  4.6  6.4  1.90 13.79  6.75 999  988.5   1.9   3.8   0.0 99.0 99.00
2006 01 07 06 00 999  8.7 10.3  2.04 12.90  6.69 999  988.6   2.7   3.8  -1.4 99.0 99.00
2006 01 07 07 00 999  5.6  7.9  2.00 16.00  6.77 999  988.6   2.2   3.8   0.0 99.0 99.00
2006 01 07 08 00 999  7.1  8.1  2.11 14.81  6.67 999  988.5   2.8   3.8   0.2 99.0 99.00
2006 01 07 09 00 999  8.8 10.5  1.94 13.79  6.50 999  988.7   2.7   3.8  -0.3 99.0 99.00
2006 01 07 10 00 999  8.0  9.3  1.96 13.79  6.63 999  988.5   1.9   3.8   0.0 99.0 99.00
2006 01 07 11 00 999  7.1  9.3  1.89 13.79  6.40 999  988.2   1.9   3.8  -0.2 99.0 99.00
2006 01 07 12 00 999  9.3 10.7  1.84 14.81  6.60 999  987.9   2.9   3.8  -1.9 99.0 99.00
2006 01 07 13 00 999  6.8  8.0  1.82 12.90  6.49 999  988.0   2.4   3.7  -0.9 99.0 99.00
2006 01 07 14 00 999  6.3  8.8  1.82 13.79  6.95 999  988.3   2.4   3.8  -2.7 99.0 99.00
2006 01 07 15 00 999  6.3  8.7  2.01 13.79  7.44 999  988.3   2.4   3.8  -3.0 99.0 99.00
2006 01 07 16 00 999  4.6  5.8  2.27 14.81  7.57 999  988.5   2.5   3.8  -3.1 99.0 99.00
2006 01 07 17 00 999  5.8  7.2  2.17 14.81  7.08 999  988.8   2.6   3.8  -2.8 99.0 99.00
2006 01 07 18 00 999  5.0  6.0  2.34 13.79  7.59 999  989.3   2.6   3.8  -3.0 99.0 99.00
