#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 08 09 06 50  98  7.8  9.5  0.83  3.85  4.23  85 1014.1  10.0  10.5  10.0 99.0 99.00
2018 08 09 07 50  97  7.4  8.8  0.86  4.17  4.27  98 1013.9  10.3  10.5  10.2 99.0 99.00
2018 08 09 08 50  97  7.2  8.4  0.90  4.55  4.27 107 1013.5  10.3  10.5  10.1 99.0 99.00
2018 08 09 09 50 102  8.2  9.9  0.98  4.76  4.26 106 1012.7  10.0  10.4  10.0 99.0 99.00
2018 08 09 10 50 102  8.2  9.7  1.08  4.55  4.37 106 1012.3  10.1  10.4  10.0 99.0 99.00
2018 08 09 11 50 103  8.7 10.3  1.10  4.76  4.29 116 1011.4  10.0  10.4  10.0 99.0 99.00
2018 08 09 12 50  98  8.6 10.2  1.22  5.00  4.28  94 1010.4  10.1  10.4  10.1 99.0 99.00
2018 08 09 13 50  93 10.5 12.2  1.29  5.00  4.27 110 1008.8  10.1  10.4  10.1 99.0 99.00
2018 08 09 14 50  92 10.2 11.9  1.31  5.26  4.38 105 1008.1  10.2  10.4  10.1 99.0 99.00
2018 08 09 15 50  99 10.6 12.8  1.51  5.00  4.60 110 1007.8  10.3  10.3  10.3 99.0 99.00
2018 08 09 16 50  89  9.6 12.2  1.58  5.26  4.60 114 1007.0  10.0  10.3  10.0 99.0 99.00
2018 08 09 17 50  86 11.0 13.2  1.66  5.56  4.92 104 1006.0  10.0  10.3  10.0 99.0 99.00
2018 08 09 18 50  86 10.7 12.5  1.84  5.56  5.00 100 1005.3  10.0  10.3  10.0 99.0 99.00
2018 08 09 19 50  90 10.8 12.8  1.94  6.25  5.20  98 1004.8  10.0  10.3  10.0 99.0 99.00
2018 08 09 20 50  86 10.5 12.5  2.13  6.25  5.44 101 1003.6  10.1  10.3  10.1 99.0 99.00
2018 08 09 21 50  95 10.0 11.9  1.94  5.88  5.10  96 1002.8  10.2  10.3  10.2 99.0 99.00
2018 08 09 22 50 109 10.2 11.6  2.02  6.25  5.27 104 1002.3  10.4  10.3  10.4 99.0 99.00
2018 08 09 23 50 108  9.3 11.8  2.21  6.67  5.57 109 1001.5  10.4  10.3  10.4 99.0 99.00
2018 08 10 00 50 124  7.5  8.6  1.88  6.67  5.32 105 1000.8  10.5  10.3  10.5 99.0 99.00
2018 08 10 01 50 140  6.3  7.5  1.81  6.25  5.27 115 1000.6  10.4  10.3  10.4 99.0 99.00
2018 08 10 02 50 137  5.5  6.5  1.75  6.25  5.39 110 1000.3  10.4  10.3  10.4 99.0 99.00
2018 08 10 03 50 148  5.2  5.9  1.72  6.67  5.35  98  999.9  10.3  10.3  10.3 99.0 99.00
2018 08 10 04 50 161  4.3  5.3  1.76  6.67  5.53  92  999.6  10.2  10.3  10.2 99.0 99.00
2018 08 10 05 50 167  4.3  5.1  1.75  6.67  5.57  99  999.4  10.2  10.3  10.2 99.0 99.00
2018 08 10 06 50 167  4.8  5.5  1.57  6.25  5.58  96  999.5  10.2  10.3  10.2 99.0 99.00
2018 08 10 07 50 165  3.9  4.6  1.52  6.25  5.35  97  999.7  10.2  10.3  10.2 99.0 99.00
2018 08 10 08 50 186  4.5  5.3  1.41  5.88  5.34  97  999.6  10.1  10.3  10.1 99.0 99.00
